lambda;k;value
1;-5;30000
1;1;34017,504
1;5;33921,362
1;25;33907,674
1;125;33804,586
1;135;30000
0,01;-5;14000
0,01;1;14749,298
0,01;5;14739,092
0,01;25;14785,302
0,01;125;14820,21
0,01;135;14000
0,0001;-5;13000
0,0001;1;13684,862
0,0001;5;13674,054
0,0001;25;13675,986
0,0001;125;13646,514
0,0001;135;13000
