    seeds HillH1_1 HillH2_1 HillHT_1 HillExec1 SAH1_1 SAH2_1 SAHT_1 SAExec1 HillH1_2 HillH2_2 HillHT_2 HillExec2 SAH1_2 SAH2_2 SAHT_2 SAExec2 HillH1_3 HillH2_3 HillHT_3 HillExec3 SAH1_3 SAH2_3 SAHT_3 SAExec3 HillH1_4 HillH2_4 HillHT_4 HillExec4 SAH1_4 SAH2_4 SAHT_4 SAExec4 HillH1_5 HillH2_5 HillHT_5 HillExec5 SAH1_5 SAH2_5 SAHT_5 SAExec5 HillH1_6 HillH2_6 HillHT_6 HillExec6 SAH1_6 SAH2_6 SAHT_6 SAExec6
    237 2415.55 417.76 3251.07 9565 2439.7033333333334 349.89000000000004 3139.4833333333336 828 2408.93 439.31 3726.8599999999997 9239 2448.2866666666664 370.90333333333336 3560.9966666666664 419 2409.25 993.13 2409.25 7510 2339.286666666667 1046.8833333333332 2339.286666666667 258 2428.81 424.22 2853.0299999999997 9274 2422.4466666666667 378.52 2800.9666666666667 460 2444.89 356.01 4580.95 10809 2449.4466666666667 320.2633333333333 4371.026666666667 252 2443.4 348.82 4885.139999999999 10337 2468.5733333333337 325.28 4745.533333333334 248 
    199 2831.62 541.0 3913.62 8271 2926.153333333333 436.43 3799.0133333333333 261 2854.65 465.09 4249.92 8702 2900.6633333333334 429.9066666666667 4190.383333333333 264 2792.71 1040.78 2792.71 6901 2784.34 970.9699999999999 2784.34 269 2831.83 641.45 3473.2799999999997 8760 2871.0499999999997 480.4866666666667 3351.5366666666664 265 2900.28 388.4 5230.68 9796 2928.33 408.15000000000003 5377.23 263 2870.04 475.73 6200.15 9751 2977.5766666666664 393.41 5731.446666666667 260 
    327 2417.79 356.06 3129.91 8849 2396.103333333333 328.69666666666666 3053.4966666666664 252 2423.97 385.84 3581.49 8994 2409.3233333333333 300.22 3309.9833333333336 256 2385.68 955.27 2385.68 7110 2310.5399999999995 832.8766666666667 2310.5399999999995 279 2397.08 407.92 2805.0 9073 2387.5099999999998 309.11333333333334 2696.623333333333 301 2445.12 292.46 4199.879999999999 10602 2438.8399999999997 302.73 4255.219999999999 278 2418.51 307.15 4568.5599999999995 9758 2458.7900000000004 293.8566666666666 4515.786666666667 257 
    293 2522.59 415.72 3354.03 8945 2529.4666666666667 365.67333333333335 3260.8133333333335 249 2564.08 359.19 3641.6499999999996 9938 2526.1800000000003 346.46333333333337 3565.5700000000006 261 2502.05 1053.78 2502.05 7986 2421.7433333333333 1020.9066666666668 2421.7433333333333 260 2484.36 399.95 2884.31 8270 2489.5466666666666 364.65333333333336 2854.2 253 2534.1 364.55 4721.4 8643 2536.563333333333 340.3766666666667 4578.823333333334 253 2547.76 377.21 5188.23 8276 2573.1433333333334 341.07666666666665 4960.68 248 
    393 2915.74 595.85 4107.44 8440 3000.9266666666667 468.09666666666664 3937.12 260 2950.49 554.0 4612.49 9124 2974.6 460.3766666666667 4355.73 263 2829.03 1377.17 2829.03 7081 2786.8666666666663 1188.0933333333332 2786.8666666666663 281 2926.55 566.54 3493.09 8701 2950.3600000000006 475.4833333333333 3425.8433333333337 268 2931.9 461.34 5699.9400000000005 9811 2983.25 455.16 5714.21 268 2911.01 537.53 6673.72 8989 3012.653333333333 445.82 6133.393333333333 262 
    267 2598.35 477.79 3553.93 7849 2585.3366666666666 420.08 3425.4966666666664 253 2626.52 414.37 3869.63 8285 2615.013333333334 415.81 3862.4433333333336 252 2597.97 861.49 2597.97 7063 2528.313333333333 800.2266666666666 2528.313333333333 259 2632.42 450.23 3082.65 8036 2578.9933333333333 456.03666666666663 3035.0299999999997 254 2599.88 447.64 5285.72 8404 2622.463333333333 396.48 5001.343333333333 251 2594.26 450.37 5746.85 8605 2600.0933333333332 392.4866666666667 5347.5 251 
    100 2433.12 514.83 3462.7799999999997 8756 2518.6800000000003 368.99333333333334 3256.666666666667 250 2460.39 520.31 4021.3199999999997 8772 2540.1766666666667 379.72666666666663 3679.3566666666666 252 2439.94 1001.53 2439.94 7078 2407.4566666666665 916.1166666666667 2407.4566666666665 260 2492.5 517.06 3009.56 8961 2513.0933333333337 422.69 2935.7833333333338 251 2522.94 374.99 4772.88 10513 2523.403333333333 365.52 4716.523333333333 265 2506.98 425.4 5484.78 10886 2563.693333333333 357.94666666666666 5069.32 255 
    297 2308.94 431.59 3172.12 8924 2374.4133333333334 367.1266666666667 3108.666666666667 253 2339.28 400.5 3540.78 8978 2358.7766666666666 358.42333333333335 3434.0466666666666 256 2284.28 682.07 2284.28 6963 2278.2233333333334 710.9066666666668 2278.2233333333334 264 2296.6 488.12 2784.72 7922 2349.6366666666668 369.9166666666667 2719.5533333333333 253 2388.06 392.45 4742.76 8728 2405.036666666667 346.5833333333333 4484.536666666667 261 2388.07 383.11 5069.84 8678 2395.5433333333335 328.6566666666667 4696.14 245 
    294 2543.21 483.2 3509.61 7965 2635.9766666666665 360.8066666666667 3357.5899999999997 258 2586.02 515.9 4133.719999999999 7922 2639.08 326.37 3618.19 256 2583.51 737.83 2583.51 7104 2506.44 824.9566666666666 2506.44 271 2579.47 480.18 3059.6499999999996 8328 2629.7433333333333 390.53000000000003 3020.2733333333335 260 2627.96 339.97 4667.780000000001 8902 2651.6299999999997 326.92 4613.15 254 2602.43 465.49 5860.860000000001 8731 2689.1866666666665 331.05333333333334 5006.5599999999995 261 
    267 2598.35 477.79 3553.93 7921 2590.77 432.86999999999995 3456.5099999999998 255 2626.52 414.37 3869.63 8493 2588.07 415.34666666666664 3834.11 258 2597.97 861.49 2597.97 7119 2523.4500000000003 817.32 2523.4500000000003 257 2632.42 450.23 3082.65 7948 2559.7466666666664 431.3766666666667 2991.123333333333 258 2599.88 447.64 5285.72 8586 2631.7733333333335 404.76666666666665 5060.373333333333 263 2594.26 450.37 5746.85 8408 2618.383333333333 395.65000000000003 5387.933333333333 249 
