lambda;k;value
0,001;-5;2000
0,001;1;2627,355667
0,001;5;2621,755
0,001;10;2620,081667
0,001;15;2614,149
0,001;20;2000
0,0001;-5;2000
0,0001;1;2604,548333
0,0001;5;2593,021667
0,0001;10;2617,342
0,0001;15;2652,516333
0,0001;20;2000
0,00001;1;2606,39
0,00001;5;2717,610333
0,00001;10;2916,38
0,00001;15;3095,872
0,00001;20;2000
