seed steps costSA costHC exec_timeSA exec_timeHC
122 100000 2718.556666666667 2680.65 1450.0 3614.0
122 500000 2705.28 2680.65 746.0 3240.0
122 1000000 2709.3166666666666 2680.65 747.0 3230.0
387 100000 2796.7000000000003 2839.67 468.0 3227.0
387 500000 2777.48 2839.67 721.0 3208.0
387 1000000 2789.2999999999997 2839.67 737.0 3378.0
220 100000 2687.7866666666664 2673.89 479.0 3045.0
220 500000 2668.5499999999997 2673.89 727.0 3174.0
220 1000000 2680.4566666666665 2673.89 722.0 3047.0
277 100000 2335.58 2349.14 452.0 3366.0
277 500000 2334.773333333333 2349.14 679.0 3424.0
277 1000000 2319.4466666666667 2349.14 674.0 3343.0
277 100000 2314.47 2349.14 461.0 3548.0
277 500000 2343.6066666666666 2349.14 685.0 3367.0
277 1000000 2335.3133333333335 2349.14 698.0 3408.0
184 100000 2249.32 2293.77 471.0 3064.0
184 500000 2286.2233333333334 2293.77 717.0 3063.0
184 1000000 2238.633333333333 2293.77 717.0 3077.0
16 100000 2675.8700000000003 2741.99 470.0 3036.0
16 500000 2692.0333333333333 2741.99 734.0 3072.0
16 1000000 2692.57 2741.99 698.0 3056.0
251 100000 2654.153333333333 2685.27 483.0 2833.0
251 500000 2637.4466666666667 2685.27 743.0 2883.0
251 1000000 2661.6366666666668 2685.27 732.0 2885.0
49 100000 2447.25 2463.68 483.0 3284.0
49 500000 2442.6133333333332 2463.68 726.0 3351.0
49 1000000 2457.903333333333 2463.68 721.0 3316.0
89 100000 2523.7100000000005 2509.07 472.0 3529.0
89 500000 2534.486666666667 2509.07 697.0 3505.0
89 1000000 2521.1433333333334 2509.07 721.0 3468.0
