seed steps costSA costHC exec_timeSA exec_timeHC
178 5000 2789.1633333333334 2691.22 145.0 4204.0
178 10000 2698.4 2691.22 44.0 3321.0
178 20000 2664.98 2691.22 91.0 3329.0
178 30000 2669.0633333333335 2691.22 307.0 3305.0
178 60000 2667.7533333333336 2691.22 259.0 3484.0
178 120000 2666.3933333333334 2691.22 525.0 3407.0
178 150000 2668.896666666667 2691.22 686.0 3495.0
304 5000 2817.3366666666666 2711.21 21.0 3023.0
304 10000 2738.89 2711.21 44.0 3107.0
304 20000 2724.1366666666668 2711.21 90.0 3037.0
304 30000 2691.4733333333334 2711.21 137.0 3024.0
304 60000 2700.3033333333333 2711.21 288.0 3036.0
304 120000 2698.44 2711.21 552.0 3056.0
304 150000 2696.85 2711.21 702.0 3063.0
167 5000 2866.693333333333 2747.28 21.0 2764.0
167 10000 2780.956666666667 2747.28 44.0 2739.0
167 20000 2780.2899999999995 2747.28 91.0 2721.0
167 30000 2759.78 2747.28 139.0 2751.0
167 60000 2751.2933333333335 2747.28 282.0 2885.0
167 120000 2767.6133333333332 2747.28 573.0 2786.0
167 150000 2746.8833333333337 2747.28 707.0 2746.0
119 5000 2844.4633333333336 2717.32 22.0 2792.0
119 10000 2771.653333333333 2717.32 43.0 2832.0
119 20000 2722.1633333333334 2717.32 90.0 2844.0
119 30000 2712.4599999999996 2717.32 136.0 2812.0
119 60000 2724.38 2717.32 275.0 2846.0
119 120000 2731.4066666666663 2717.32 556.0 2822.0
119 150000 2737.056666666667 2717.32 687.0 2986.0
74 5000 2958.69 2812.82 22.0 2938.0
74 10000 2815.6633333333334 2812.82 45.0 3041.0
74 20000 2784.9533333333334 2812.82 90.0 3128.0
74 30000 2791.44 2812.82 141.0 2989.0
74 60000 2784.2666666666664 2812.82 281.0 3009.0
74 120000 2777.726666666667 2812.82 574.0 2967.0
74 150000 2800.6200000000003 2812.82 705.0 2992.0
143 5000 2476.766666666667 2404.82 20.0 3688.0
143 10000 2396.653333333333 2404.82 43.0 3570.0
143 20000 2378.9599999999996 2404.82 87.0 3588.0
143 30000 2378.0833333333335 2404.82 137.0 3606.0
143 60000 2382.6433333333334 2404.82 269.0 3734.0
143 120000 2387.056666666667 2404.82 532.0 3583.0
143 150000 2377.27 2404.82 686.0 3547.0
150 5000 2346.076666666667 2220.26 21.0 3234.0
150 10000 2198.1200000000003 2220.26 41.0 3216.0
150 20000 2191.1 2220.26 84.0 3159.0
150 30000 2189.1633333333334 2220.26 129.0 3167.0
150 60000 2176.0233333333335 2220.26 257.0 3194.0
150 120000 2191.39 2220.26 512.0 3120.0
150 150000 2193.116666666667 2220.26 654.0 3148.0
313 5000 2854.3366666666666 2731.1299999999997 21.0 3214.0
313 10000 2746.476666666667 2731.1299999999997 45.0 3219.0
313 20000 2725.93 2731.1299999999997 88.0 3337.0
313 30000 2724.623333333333 2731.1299999999997 134.0 3172.0
313 60000 2700.9500000000003 2731.1299999999997 274.0 3176.0
313 120000 2712.876666666667 2731.1299999999997 541.0 3153.0
313 150000 2720.81 2731.1299999999997 679.0 3186.0
349 5000 2901.7466666666664 2830.1299999999997 21.0 2943.0
349 10000 2829.2033333333334 2830.1299999999997 47.0 2967.0
349 20000 2786.513333333334 2830.1299999999997 93.0 2988.0
349 30000 2804.4233333333336 2830.1299999999997 135.0 2967.0
349 60000 2774.0766666666664 2830.1299999999997 277.0 2949.0
349 120000 2803.3933333333334 2830.1299999999997 557.0 2970.0
349 150000 2788.816666666667 2830.1299999999997 701.0 2958.0
350 5000 2732.5533333333333 2669.25 21.0 2865.0
350 10000 2684.273333333333 2669.25 43.0 2883.0
350 20000 2634.8633333333332 2669.25 90.0 2842.0
350 30000 2633.8666666666663 2669.25 133.0 2845.0
350 60000 2655.8266666666664 2669.25 268.0 2843.0
350 120000 2638.3366666666666 2669.25 532.0 2832.0
350 150000 2640.1766666666663 2669.25 694.0 2843.0
